Genus,Mouse 1,Mouse 2,Mouse 3,Mouse 4,Mouse 5,Mouse 6,Mouse 7,Mouse 8
Slackia,,,,,,,,
Solibacillus,,,,,,,,
Solobacterium,,,,,,,,
Sphingobacterium,,,,,,,,
Sphingomonas,,,,,,,,
Sporobacter,,,,,,,,
Sporobacterium,,,,,,,,
Sporosarcina,,,,,,,,
Staphylococcus,,13.593010596603277,,9.157848574015395,,,16.212539610683542,55.94861759878802
Stenotrophomonas,,,,,,,,
Steroidobacter,,,,,,,,
Streptococcus,5.037609576774439,17.63394169744342,5.116502301117733,18.84031235853329,5.498161829067609,8.37923177083334,3.981213218650975,6.15432098765432
Streptomyces,,,,,,,,
Subdoligranulum,,,,,,5.724791691824658,,
Sulfurivirga,,,,,,,,
Sutterella,,,,,,,,
Syntrophomonas,5.260290586866662,5.483489256268958,4.874301761240503,5.642753440222191,5.554404996712688,6.203353163872364,5.182890671327365,4.920338341118548
Syntrophothermus,,,,,,,,
Syntrophus,,,,,,,,
TM7,27.075459629916097,17.943337795989017,17.158168724279832,19.589093931340642,21.91801768990635,22.01242736678005,17.92399841869272,23.091268237934905
Tannerella,131.18694852925228,94.47742055118181,89.35497617071576,101.21617106049538,77.71312381285217,70.84617770566902,104.19861513642542,81.10998808137343
Tepidibacter,,,,,,,,
Tepidimicrobium,,,,,,,,
Tepidimonas,,,,,,,,
Terracoccus,,,,,,,,
Terrimonas,,,,,,,,
Thauera,,,,,,,,
Thermaerobacter,,,,,,,,
Thermanaeromonas,,,,,,,,
Thermincola,,,,,,,,
Thermobacillus,,,,,,,,
Thermobifida,,,,,,,,
Thermodesulfobium,,,,,,,,
Thioflavicoccus,,,,,,,,
Tolumonas,,,,,,,,
Treponema,,,,,,,,
Triticum,,,,,,,,
Tropheryma,,,,,,,,
Turicibacter,154.90220654588362,20.854317760161912,59.485041057843105,37.689600439547256,69.91056111111116,21.295363321799304,42.870584370987544,64.41087081891598
UNDEFINED,7.09463957759413,5.257170325268387,6.088273314866118,6.3621613106490225,7.972260905566639,8.13935515034416,5.644804526748975,7.129216806381826
Undibacterium,,,,,,,,
Ureibacillus,,,,,,,,
Vagococcus,,,,,,,,
Veillonella,,,,,,,,
Vibrio,,9.746315751730094,,,,,912.7171561415415,
Virgibacillus,,,,,,,,
Weissella,,,,,,,,
Xanthomonas,,,,,,,,
Xylanibacter,,,,,,,,
Yaniella,,,,,,,,
