,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
478,478,,,,,,,,,,
479,479,,,,,,,,,,
480,480,,,,,,,,,,
481,481,,,,,,,,,,
482,482,,,,,,,,,,
483,483,3.0,8.0,6.0,12.0,38.0,9.0,2.0,17.0,11.875,11.60587905207652
484,484,,,,,,,,,,
485,485,,,,,,,,,,
486,486,,,,,,,,,,
487,487,,,,,,,,,,
488,488,,,,,,,,,,
489,489,30.0,5.0,26.0,17.0,13.0,3.0,6.0,10.0,13.75,9.939100275463282
490,490,,,,,,,,,,
491,491,,,,,,,,,,
492,492,,,,,,,,,,
493,493,,,,,,,,,,
494,494,,,,,,,,,,
495,495,,,,,,,,,,
496,496,13.0,7.0,11.0,16.0,17.0,8.0,16.0,36.0,15.5,9.086882225022428
497,497,,,,,,,,,,
498,498,,,,,,,,,,
499,499,,,,,,,,,,
500,500,,,,,,,,,,
501,501,,,,,,,,,,
502,502,,,,,,,,,,
503,503,22.0,3.0,19.0,11.0,25.0,7.0,29.0,10.0,15.75,9.300537618869138
504,504,,,,,,,,,,
505,505,,,,,,,,,,
506,506,,,,,,,,,,
507,507,,,,,,,,,,
508,508,,,,,,,,,,
509,509,,,,,,,,,,
510,510,,,,,,,,,,
511,511,47.0,8.0,4.0,7.0,11.0,6.0,21.0,24.0,16.0,14.461772268392872
512,512,,,,,,,,,,
513,513,,,,,,,,,,
514,514,,,,,,,,,,
515,515,,,,,,,,,,
516,516,,,,,,,,,,
517,517,,,,,,,,,,
518,518,24.0,12.0,2.0,18.0,4.0,,16.0,18.0,13.428571428571429,7.9761549395086115
519,519,,,,,,,,,,
520,520,30.0,12.0,10.0,14.0,17.0,8.0,9.0,9.0,13.625,7.26906360642729
521,521,,,,,,,,,,
522,522,,,,,,,,,,
523,523,,,,,,,,,,
524,524,31.0,11.0,9.0,9.0,10.0,14.0,22.0,16.0,15.25,7.741354624907157
525,525,,,,,,,,,,
526,526,,,,,,,,,,
527,527,,,,,,,,,,
528,528,,,,,,,,,,
529,529,,,,,,,,,,
530,530,,,,,,,,,,
531,531,13.0,34.0,15.0,31.0,11.0,,13.0,46.0,23.285714285714285,13.671311638052945
532,532,,,,,,,,,,
533,533,,,,,,,,,,
534,534,,,,,,,,,,
535,535,,,,,,,,,,
536,536,,,,,,,,,,
537,537,,,,,,,,,,
538,538,,,,,,,,,,
539,539,,,,,,,,,,
540,540,,,,,,,,,,
541,541,1.0,42.0,14.0,13.0,17.0,,5.0,22.0,16.285714285714285,13.36306209562122
542,542,,,,,,,,,,
543,543,,,,,,,,,,
544,544,,,,,,,,,,
545,545,,,,,,,,,,
546,546,4.0,22.0,13.0,4.0,37.0,,4.0,0.0,12.0,13.30413469565007
547,547,,,,,,,,,,
548,548,,,,,,,,,,
549,549,,,,,,,,,,
550,550,,,,,,,,,,
551,551,,,,,,,,,,
552,552,,,,,,,,,,
553,553,,,,,,,,,,
554,554,,,,,,,,,,
555,555,112.0,6.0,7.0,6.0,20.0,,4.0,15.0,24.285714285714285,39.1097357261773
556,556,,,,,,,,,,
557,557,,,,,,,,,,
558,558,,,,,,,,,,
559,559,20.0,5.0,10.0,8.0,18.0,,6.0,9.0,10.857142857142858,5.843188953205018
560,560,,,,,,,,,,
561,561,,,,,,,,,,
562,562,,,,,,,,,,
563,563,,,,,,,,,,
564,564,,,,,,,,,,
565,565,,,,,,,,,,
566,566,48.0,7.0,32.0,1.0,21.0,,22.0,14.0,20.714285714285715,15.787276371752515
567,567,,,,,,,,,,
568,568,,,,,,,,,,
569,569,,,,,,,,,,
570,570,,,,,,,,,,
571,571,,,,,,,,,,
572,572,,,,,,,,,,
573,573,24.0,7.0,5.0,21.0,30.0,,14.0,5.0,15.142857142857142,10.05698051817031
574,574,,,,,,,,,,
575,575,,,,,,,,,,
576,576,39.0,17.0,20.0,7.0,10.0,,8.0,13.0,16.285714285714285,11.071198154284321
577,577,,,,,,,,,,
578,578,,,,,,,,,,
579,579,,,,,,,,,,
580,580,90.0,2.0,13.0,6.0,8.0,,4.0,17.0,20.0,31.29962726082639
581,581,,,,,,,,,,
582,582,,,,,,,,,,
583,583,,,,,,,,,,
584,584,,,,,,,,,,
585,585,,,,,,,,,,
586,586,,,,,,,,,,
587,587,18.0,1.0,9.0,5.0,29.0,,17.0,27.0,15.142857142857142,10.683766056164705
588,588,,,,,,,,,,
589,589,,,,,,,,,,
590,590,,,,,,,,,,
591,591,,,,,,,,,,
592,592,,,,,,,,,,
593,593,,,,,,,,,,
594,594,42.0,0.0,1.0,28.0,9.0,,4.0,25.0,15.571428571428571,16.195237395163872
595,595,,,,,,,,,,
596,596,,,,,,,,,,
597,597,,,,,,,,,,
598,598,37.0,0.0,10.0,12.0,4.0,,9.0,42.0,16.285714285714285,16.41863053276456
599,599,,,,,,,,,,
600,600,,,,,,,,,,
601,601,,,,,,,,,,
602,602,,,,,,,,,,
603,603,23.0,23.0,14.0,20.0,37.0,,7.0,40.0,23.428571428571427,11.759494644146674
604,604,,,,,,,,,,
605,605,,,,,,,,,,
606,606,,,,,,,,,,
607,607,,,,,,,,,,
608,608,22.0,0.0,24.0,22.0,17.0,,8.0,23.0,16.571428571428573,9.162553189607193
609,609,,,,,,,,,,
610,610,,,,,,,,,,
611,611,,,,,,,,,,
612,612,,,,,,,,,,
613,613,,,,,,,,,,
614,614,,,,,,,,,,
615,615,20.0,3.0,25.0,4.0,15.0,,8.0,2.0,11.0,9.092121131323903
616,616,,,,,,,,,,
617,617,,,,,,,,,,
618,618,,,,,,,,,,
619,619,26.0,16.0,26.0,19.0,28.0,,7.0,46.0,24.0,12.151817422372122
620,620,,,,,,,,,,
621,621,,,,,,,,,,
622,622,,,,,,,,,,
623,623,,,,,,,,,,
624,624,49.0,24.0,52.0,3.0,29.0,,21.0,38.0,30.857142857142858,17.08243319347463
625,625,,,,,,,,,,
626,626,,,,,,,,,,
627,627,,,,,,,,,,
628,628,,,,,,,,,,
629,629,8.0,5.0,12.0,15.0,14.0,,5.0,30.0,12.714285714285714,8.635475005547093
630,630,,,,,,,,,,
631,631,,,,,,,,,,
632,632,,,,,,,,,,
633,633,12.0,4.0,17.0,4.0,23.0,,13.0,18.0,13.0,7.118052168020874
634,634,,,,,,,,,,
635,635,,,,,,,,,,
636,636,,,,,,,,,,
637,637,,,,,,,,,,
638,638,14.0,13.0,18.0,9.0,14.0,,7.0,32.0,15.285714285714286,8.19988385515888
639,639,,,,,,,,,,
640,640,12.0,2.0,10.0,12.0,12.0,,10.0,27.0,12.142857142857142,7.448234050846581
641,641,,,,,,,,,,
642,642,,,,,,,,,,
643,643,10.0,7.0,15.0,10.0,11.0,,6.0,6.0,9.285714285714286,3.251373336211726
644,644,,,,,,,,,,
645,645,,,,,,,,,,
646,646,13.0,5.0,9.0,18.0,17.0,,13.0,12.0,12.428571428571429,4.466808810815721
647,647,,,,,,,,,,
648,648,,,,,,,,,,
649,649,,,,,,,,,,
650,650,9.0,6.0,18.0,16.0,5.0,,9.0,12.0,10.714285714285714,4.8892496259407645
651,651,,,,,,,,,,
652,652,6.0,6.0,18.0,2.0,15.0,,4.0,4.0,7.857142857142857,6.12178000880385
653,653,,,,,,,,,,
654,654,9.0,16.0,5.0,4.0,7.0,,9.0,17.0,9.571428571428571,5.094347941825426
655,655,,,,,,,,,,
656,656,,,,,,,,,,
657,657,20.0,9.0,7.0,25.0,15.0,,8.0,15.0,14.142857142857142,6.693991620066746
