,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
436,436,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.75,1.164964745021435
437,437,,,,,,,,,,
438,438,,,,,,,,,,
439,439,,,,,,,,,,
440,440,,,,,,,,,,
441,441,2.0,0.0,2.0,,0.0,5.0,1.0,1.0,1.5714285714285714,1.7182493859684491
442,442,,,,,,,,,,
443,443,,,,,,,,,,
444,444,,,,,,,,,,
445,445,,,,,,,,,,
446,446,,,,,,,,,,
447,447,,,,,,,,,,
448,448,,,,,,,,,,
449,449,,,,,,,,,,
450,450,0.0,0.0,0.0,,1.0,1.0,0.0,2.0,0.5714285714285714,0.7867957924694432
451,451,,,,,,,,,,
452,452,,,,,,,,,,
453,453,,,,,,,,,,
454,454,,,,,,,,,,
455,455,,,,,,,,,,
456,456,,,,,,,,,,
457,457,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.7559289460184544
458,458,,,,,,,,,,
459,459,,,,,,,,,,
460,460,,,,,,,,,,
461,461,,,,,,,,,,
462,462,4.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,1.25,1.2817398889233114
463,463,,,,,,,,,,
464,464,,,,,,,,,,
465,465,,,,,,,,,,
466,466,,,,,,,,,,
467,467,,,,,,,,,,
468,468,,,,,,,,,,
469,469,0.0,1.0,1.0,1.0,1.0,0.0,2.0,5.0,1.375,1.5979898086569353
470,470,,,,,,,,,,
471,471,,,,,,,,,,
472,472,,,,,,,,,,
473,473,,,,,,,,,,
474,474,,,,,,,,,,
475,475,,,,,,,,,,
476,476,13.0,1.0,0.0,0.0,3.0,3.0,0.0,2.0,2.75,4.334248987508019
477,477,,,,,,,,,,
478,478,,,,,,,,,,
479,479,,,,,,,,,,
480,480,,,,,,,,,,
481,481,,,,,,,,,,
482,482,,,,,,,,,,
483,483,0.0,2.0,3.0,0.0,1.0,1.0,3.0,1.0,1.375,1.1877349391654208
484,484,,,,,,,,,,
485,485,,,,,,,,,,
486,486,,,,,,,,,,
487,487,,,,,,,,,,
488,488,,,,,,,,,,
489,489,1.0,1.0,3.0,1.0,0.0,1.0,2.0,4.0,1.625,1.3024701806293193
490,490,,,,,,,,,,
491,491,,,,,,,,,,
492,492,,,,,,,,,,
493,493,,,,,,,,,,
494,494,,,,,,,,,,
495,495,,,,,,,,,,
496,496,0.0,0.0,1.0,1.0,3.0,3.0,1.0,0.0,1.125,1.246423454758225
497,497,,,,,,,,,,
498,498,,,,,,,,,,
499,499,,,,,,,,,,
500,500,,,,,,,,,,
501,501,,,,,,,,,,
502,502,,,,,,,,,,
503,503,4.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0690449676496976
504,504,,,,,,,,,,
505,505,,,,,,,,,,
506,506,,,,,,,,,,
507,507,,,,,,,,,,
508,508,,,,,,,,,,
509,509,,,,,,,,,,
510,510,,,,,,,,,,
511,511,2.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.25,0.7071067811865476
512,512,,,,,,,,,,
513,513,,,,,,,,,,
514,514,,,,,,,,,,
515,515,,,,,,,,,,
516,516,,,,,,,,,,
517,517,,,,,,,,,,
518,518,1.0,2.0,0.0,3.0,1.0,,3.0,5.0,2.142857142857143,1.6761634196950514
519,519,,,,,,,,,,
520,520,9.0,0.0,6.0,2.0,3.0,2.0,2.0,0.0,3.0,3.070597894314954
521,521,,,,,,,,,,
522,522,,,,,,,,,,
523,523,,,,,,,,,,
524,524,6.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.5,2.0
525,525,,,,,,,,,,
526,526,,,,,,,,,,
527,527,,,,,,,,,,
528,528,,,,,,,,,,
529,529,,,,,,,,,,
530,530,,,,,,,,,,
531,531,12.0,1.0,1.0,3.0,3.0,,2.0,3.0,3.5714285714285716,3.8234863173611098
532,532,,,,,,,,,,
533,533,,,,,,,,,,
534,534,,,,,,,,,,
535,535,,,,,,,,,,
536,536,,,,,,,,,,
537,537,,,,,,,,,,
538,538,,,,,,,,,,
539,539,,,,,,,,,,
540,540,,,,,,,,,,
541,541,0.0,3.0,4.0,1.0,5.0,,1.0,2.0,2.2857142857142856,1.799470821684875
542,542,,,,,,,,,,
543,543,,,,,,,,,,
544,544,,,,,,,,,,
545,545,,,,,,,,,,
546,546,0.0,3.0,0.0,1.0,7.0,,1.0,0.0,1.7142857142857142,2.563479777846623
547,547,,,,,,,,,,
548,548,,,,,,,,,,
549,549,,,,,,,,,,
550,550,,,,,,,,,,
551,551,,,,,,,,,,
552,552,,,,,,,,,,
553,553,,,,,,,,,,
554,554,,,,,,,,,,
555,555,1.0,2.0,0.0,0.0,0.0,,1.0,0.0,0.5714285714285714,0.7867957924694432
556,556,,,,,,,,,,
557,557,,,,,,,,,,
558,558,,,,,,,,,,
